Applications in Information Systems,Artificial Intelligence,Basic Algebra,Business Analytics,Calculus and Analytic Geometry I,Calculus and Analytic Geometry II,Calculus and Analytic Geometry III,Circuit Modeling I,College Algebra,College Writing I,College Writing II,Computer Architecture/Operating Systems,Computer Graphics,Corporate Finance,Data Communications and Computer Networks,Database Design and Implementation,Discrete Mathematics,Discrete Structures,Electrical Engineering Projects and Tools,Elementary Algebra,Elementary Statistics,Engineering Management,Essentials of Anatomy and Physiology,Financial Accounting,Finite Mathematics with Applications,Fundamentals of Engineering Analysis Tools,General Physics I,General Physics II,Human Factors Engineering,Intermediate Algebra,Intermediate Software Engineering,Interpretation of Business and Economic Data,Introduction to Agribusiness,Introduction to Computer Security,Introduction to Marketing,Introduction to Microprocessors,Introduction to Programming,Introduction to Software Engineering,Leadership and Management,Logic and Digital Design,Management Accounting,Mathematical Problem Solving,Microcomputer Applications,Microsoft Excel for Business,Object Oriented Analysis and Design,Object-Oriented Programming and Data Structures I,Object-Oriented Programming and Data Structures II,Operations Management,Operations Research I,Organizational Behavior,postreq,Precalculus,Principles and Applications of Project Management,Programming in C++,Programming in COBOL,Programming in VB.NET,Programming Language Structures,Quality Engineering,Quality Management,Real-Time Embedded Systems Programming,Software Engineering Project I,Software Engineering Project II,Software Maintenance and Reengineering,Software Quality,Statistical Methods with Applications,Studio College Writing,Systems Analysis and Design,Systems Development and Implementation,Technical Writing,Trigonometry and Analytic Geometry,"Web Protocols, Technologies, and Applications",Windows Programming
$,$,$,$,C,D,$,F,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,B,B,$,$,$,$,$,$,C,$,$,$,$,$,$,$,C,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C+,B-,F,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B,C,C,C,$,A,A,B,$,$,B,B,C,$,A,$,$,$,$,$,$,$,B,C-,$,$,B,$,$,$,$,B+,$,B,A,B-,$,$,$,$,C,B,C,$,$,$,$,$,$,B,$,$,B,$,$,B+,B,A,B,A-,A-,$,$,$,$,$,$,$
$,$,$,$,$,$,B,F,$,$,$,C+,$,$,B+,C+,B+,$,A,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,B+,$,B,$,B,B,A-,$,$,$,$,C+,B,B,$,$,$,$,$,$,$,$,$,B,$,$,B,A-,B,C,B-,B,$,$,$,$,$,$,$
$,B,$,$,$,$,$,F,$,$,$,D,$,$,D+,A-,C,$,B,$,$,$,$,$,$,$,$,$,$,$,C,$,$,D,$,$,$,C+,C,C+,$,$,$,$,F,$,B-,$,$,$,$,$,$,A-,$,$,A,$,$,$,$,$,A-,$,B-,$,$,$,A,$,$,$
$,C-,$,$,F,F,C-,C,$,B-,B-,A-,C,$,C+,$,F,$,A,$,$,$,$,$,$,$,C,D+,$,$,B-,C,$,C,$,$,$,B,A,B+,$,$,$,$,C,B,F,$,$,$,$,D+,$,A,$,$,B-,$,$,B-,B+,B,C-,C,D,$,$,$,B+,$,$,$
$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,D+,$,$,$,B-,$,$,C+,C-,C,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,C,B,$,$,$,$,B,C,C,$,$,$,$,$,$,B,B,B,B,$,$,B-,$,$,$,$,$,$,$,$,B+,$,$,B
$,B+,$,$,C,C,$,$,$,$,A,C,$,$,B-,B,F,$,B+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,B,B+,$,$,$,$,$,B,C+,C-,$,$,$,$,$,$,B,B,$,B+,$,$,$,$,$,$,$,$,$,$,$,B,$,$,B
$,$,$,$,B,C,B,B,$,$,A,C,$,$,F,C,B,$,B,$,$,$,$,$,$,$,B,C,$,$,C,$,$,$,$,F,$,A,B,B,$,$,$,$,B,A,C,$,$,$,$,$,$,B,$,F,F,$,$,F,C,F,B,B,F,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,C,C,$,$,F,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,C,$,$,$,C,$,C,$,$,$,$,F,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$
$,$,$,$,A,B,B,$,$,A,A,B,$,$,B+,B+,B,$,A,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,A,A,$,$,$,$,$,B,A,B,$,$,$,$,$,$,B,B,$,B+,$,$,$,$,$,$,A,$,$,$,$,A,$,$,$
$,$,$,B+,$,$,$,$,$,C,A-,$,$,A-,$,$,$,$,$,$,$,$,$,B-,C,$,$,$,$,$,$,$,$,$,C,$,B+,$,B,$,C-,$,B+,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,F,$,C-,$,$,$,D+,$,$,C-,F,D,$,A,$,$,$,$,$,$,$,$,$,$,$,C,$,$,B,$,$,$,B+,A-,$,$,$,$,$,D,C,C,$,$,$,$,C,$,F,$,C-,C-,$,A-,$,$,$,$,$,$,$,$,$,B+,$,$,B
$,$,$,$,$,$,$,$,$,B,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,C+,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,B+,$,$,$,$,$,$,$,$,B+,C+,$,$,C+,B,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A-,$,$,$,A,A,$,$,$,$,$,B-,$,B,$,$,$,$,$,$,$,$,B+,B+,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,A-
$,$,$,$,$,B+,C,B+,$,B+,B,A-,$,$,B,A,B+,$,A,$,$,$,$,$,$,$,A-,B,$,$,B+,$,$,$,$,B,$,A-,A,B+,$,$,$,$,B,A-,B,$,$,$,$,$,$,A,$,$,B+,$,$,B,C,B,C,B,A,$,$,$,$,$,$,$
$,$,$,$,C+,B-,B+,A-,$,$,A-,C+,A,$,B+,$,B+,$,A,$,$,$,$,$,$,$,B+,B+,$,$,B+,$,$,B+,$,$,$,C+,D,A,$,$,$,$,B,B,A,$,$,$,$,F,$,F,$,$,A,$,$,A,A,A-,B+,B+,B+,$,$,$,$,$,$,$
$,$,$,$,C,F,$,$,$,A-,B,$,$,$,$,$,F,$,C-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,F,$,$,$,$,$,$,D+,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,A,$,$,$,$,A,$,$,$,A,A,$,$,A,A,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$,A,A,$,$,$,$,$,A,A,A,$,$,$,$,$,$,$,$,A,A,$,$,$,$,$,$,$,A,$,$,$,A,$,$,A
$,$,$,$,B,C+,C,C,$,$,A,B+,$,$,B,B-,C+,$,A-,$,$,$,$,$,$,$,B,C-,$,$,B,$,$,$,$,A,$,B+,A,A,$,$,$,$,B,B+,B,$,$,$,$,$,$,A,$,$,A-,$,$,C+,A-,B+,C+,B-,C,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,A,B,$,$,B,$,$,$,$,$,$,$,$,$,A-,$,$,$,$,$,B,$,C+,$,$,C,$,$,$,B,$,C-,$,C,$,$,$,$,A,$,$,$,D,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,B,$,$,$
$,C,$,$,D,$,B-,B,$,$,A,B,$,$,B,C+,C,$,B,$,$,$,$,$,$,$,$,B+,$,$,B+,$,$,$,$,B+,$,A-,B+,A,$,$,$,$,B,B+,B,$,$,$,$,$,$,B,$,$,B,$,$,C,B-,A,B,B+,B-,$,$,$,$,$,$,$
$,$,$,$,B,D,$,$,D,B,A,$,$,$,$,$,$,$,A,$,B+,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,B,$,B,$,$,$,$,$,$,C,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$
$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,F,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,A-,$,$,$,$,B-,C,B+,$,$,C-,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,C-,$,$,$,B,$,C,$,B,$,$,$,$,$,$,C,$,$,$,F,$,$,$,$,A,$,$,$,$,$,$,$,$,$,B+,D,$,$
$,$,$,$,B,F,$,$,$,B,F,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,B,$,$,$,$,$,$,B,F,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,D,D,F,$,A,C,$,$,$,B,D,D,$,A,$,$,$,D+,$,$,$,$,$,$,$,D,$,$,$,$,$,$,B,B,$,$,$,$,$,C,F,F,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,C,C,$,$,$,$,A,C,$,$
$,$,$,$,$,F,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,A,D,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,D,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B,A,A,A,$,B,A,A,$,$,A,A,B,$,A,$,$,$,A-,$,$,$,A,B,$,$,A,$,$,$,$,A,$,A,A,B+,$,$,$,$,A,A,A,$,$,$,$,$,$,A,$,$,A,$,$,A,A,A,A,A,A-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,B,$,$,B-,C,C+,$,$,$,$,C+,$,$,A,A,C-,$,A-,$,$,$,$,$,$,$,C-,F,$,$,B-,$,$,D+,$,A,$,B,$,B+,$,$,$,$,B,B,B+,$,$,$,$,$,$,B,B,$,$,$,$,A-,B,B,A,A,A-,$,$,$,$,$,$,$
$,$,$,$,D,$,$,$,$,B-,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,A,A,A,$,$,A,A,A,A-,$,A,A,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,A,$,$,$,$,$,A,A,A,$,$,$,$,$,$,A,A,$,A,$,$,$,$,$,$,$,A,$,$,$,A,$,$,A
$,A,$,$,$,$,$,$,$,$,$,B,$,$,A,$,$,$,A,$,$,$,$,$,$,$,A,A,$,$,B,$,$,$,$,B+,$,A-,A,A,$,$,$,$,B-,$,A-,$,$,$,$,$,$,$,$,$,A,$,$,B,B+,A,B-,B+,C,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,B-,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,C,D,$,$,$,B,C+,$,$,B+,$,$,$,$,F,$,A-,$,$,C,$,$,C+,$,$,$,$,$,$,$,C,$,$,$,A,$,B-,$,A-,$,$,$,$,B,$,A-,$,$,$,B,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
A,$,$,$,$,$,$,$,$,$,$,B,$,C,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,A,A,$,$,$
$,$,$,$,D,$,$,$,$,A,C-,C-,$,$,C,B,F,$,$,B,$,$,$,C,$,$,$,$,$,B,$,$,$,B-,B,$,C,F,B+,$,$,$,B,$,B-,B+,C,$,$,A,$,C+,$,D,$,A-,A-,$,$,$,$,$,B,D,$,$,$,$,A-,$,$,C
B,$,$,$,F,$,$,$,$,B,C,F,$,C-,D,F,$,$,$,$,C+,$,$,F,B,$,$,$,$,$,$,$,$,B,$,$,$,D,D,$,C-,$,$,$,$,C,D,$,$,A,$,F,$,C,D,C-,$,$,$,$,$,$,$,$,$,$,B-,B,B+,$,$,F
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,F,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B,C-,$,B,$,A,A,C,$,$,C,B,C-,$,A,$,$,$,$,$,$,$,B-,C+,$,$,B-,$,$,$,$,B-,$,B+,A,B+,$,$,$,$,C+,A-,C,$,$,$,$,B,$,A,$,$,B,$,$,B-,B,B+,C+,B,C-,$,$,$,$,$,$,$
$,C-,$,$,$,C+,C-,D,$,A,A,C-,$,$,C-,$,C-,$,A,$,$,$,$,$,$,$,B+,F,$,$,C+,$,$,C,$,$,$,C,C,C+,$,$,$,$,C-,C,B-,$,$,$,$,$,$,B+,$,B,B-,$,$,C+,B+,B+,C-,C,D+,$,$,$,$,$,$,$
$,$,$,$,B,F,C,C,$,C,F,C,$,$,B-,C+,C-,$,B,$,$,$,$,$,$,$,A,D,$,$,B,$,$,$,$,B+,$,B-,A,B-,$,$,$,$,C-,A-,B,$,$,$,$,$,$,C,A-,$,A,$,$,B,B,B,C,B-,C-,$,$,$,$,D,$,$
$,$,$,$,C,C-,C,B,$,B+,B+,C,$,$,B,C+,C+,$,A,$,$,$,$,$,$,$,B,B,$,$,B+,$,$,B+,$,$,$,B-,$,A,$,$,$,$,B,C,B,$,$,$,$,$,$,B-,$,$,B+,$,$,B-,B+,A-,B,A-,B-,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,D,B,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$,$,$,$,$,B+,$,C,$,$,$,$,$,$,F,$,$,$,$,$,$,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$
$,$,$,$,$,$,$,B-,$,$,B-,B,A-,$,B-,B,B,$,A,$,$,$,$,$,$,$,$,$,$,$,B+,$,$,C+,$,$,$,B,$,C+,$,$,$,$,A-,B-,C+,$,$,$,$,$,$,A-,A-,$,$,$,$,B,B+,B+,B-,B+,B,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$
$,$,$,$,$,A,B,B+,$,$,$,A,$,$,B,B+,A,$,A-,$,$,$,$,$,$,$,A,B,$,$,A-,$,$,$,$,A-,$,A,$,B,$,$,$,$,B+,A,A,$,$,$,$,$,$,$,$,$,A,$,$,B,A,B,B,B+,B,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,B-,B-,A-,$,$,B+,B+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B+,B-,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,B,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,B+,$,$,$,$,$,$,$
$,$,$,$,A,C,$,$,$,A,A,C,$,$,B,B,C,$,$,$,$,$,$,A,$,$,$,$,$,$,B,$,$,$,A,$,$,B,A,$,$,$,$,$,A,B,B,$,$,$,$,B,$,B,$,A,B+,$,$,$,$,$,$,$,$,$,$,$,A-,$,$,B
$,A-,$,$,$,B,$,$,$,A,A,B,$,$,B+,$,C+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B,$,$,$,B-,A,$,$,$,$,$,A-,$,A-,$,$,$,$,$,$,$,$,$,A-,$,$,A-,$,$,$,B,$,$,$,$,B-,$,$,$
$,$,$,$,B+,B,C+,B+,$,B,A-,B,$,$,$,$,C,$,$,$,$,$,$,$,$,$,B,B,$,$,$,$,$,$,$,A,$,A,C,B,$,$,$,$,$,A-,$,$,$,$,$,$,$,C,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$
$,$,$,$,B,C+,C,A-,$,A,A,C-,$,$,B,A-,B-,$,A,$,$,$,$,$,A,$,C-,C,$,A,B-,$,$,B-,$,A-,A,B-,A,$,$,$,$,$,B,B,B-,$,$,$,$,C,$,A-,$,$,B,$,$,B,B,A,B-,A,C,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,B,B+,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$,$,$,B+,$,A,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,D,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
C,$,$,$,C,C,C,$,$,C,C,D,$,B-,C,C,$,$,$,$,$,$,$,C,$,$,$,$,$,$,$,C,$,$,B,$,$,$,B,$,C,$,$,$,$,C,$,$,$,$,$,$,$,B,C,C,$,$,$,$,$,$,$,$,$,$,C-,C+,B+,$,$,B-
$,$,$,$,$,$,$,$,D+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,A,B,C+,$,B,A,A-,$,$,C,A-,B+,$,A-,$,$,$,$,$,$,$,A,B-,$,$,B-,$,$,$,$,A-,$,B,B,A-,$,$,$,$,C,A,A,$,$,$,$,$,$,A,$,$,B,$,$,C,B+,B,C+,C+,C,$,$,$,$,$,$,$
$,B,$,$,$,$,B,$,$,$,A-,A,$,$,A,$,A-,$,B,$,$,$,A-,$,$,$,B+,A,$,$,A-,$,$,B,$,B-,$,A,A,C+,$,$,$,$,B,A,B+,$,$,$,$,$,$,A,$,$,A,$,$,A,A,A-,B,B+,C+,$,$,$,$,$,$,$
B+,$,$,$,D,$,$,$,$,C,B-,$,$,$,F,C,$,$,$,$,B,$,$,F,C,$,$,$,$,$,$,$,$,B+,C,$,A,D+,B,$,D,$,$,$,$,C-,$,$,$,B+,$,$,$,C,C,D,$,$,A,$,$,$,$,$,$,$,B-,B-,C+,C-,$,B
$,$,$,$,F,$,$,$,B,B,B,C,$,$,C,B,F,$,A,$,$,$,$,$,$,$,$,$,$,$,$,C+,$,$,$,$,$,C,B,$,$,$,$,$,C-,B,C-,$,$,$,$,$,$,B,B,A,F,$,$,$,$,$,$,$,$,$,$,$,A-,B,$,A-
B-,$,$,$,B+,$,$,$,$,F,B+,B-,$,B,B,C,$,$,$,$,A,$,$,A,$,$,$,$,$,B,$,$,$,$,C+,$,$,$,B,$,C+,$,$,$,$,B,$,A,$,$,$,B,$,C,A-,A,$,$,$,$,$,$,$,$,$,$,A-,B,B,$,$,$
B,$,$,$,$,$,$,$,$,A-,A,$,$,$,C-,C,$,$,$,$,B-,$,$,C-,C-,$,$,$,$,$,$,$,$,C-,C,$,$,$,B,$,C,$,B-,$,$,C,$,B,$,$,$,$,$,C-,C,C+,$,$,$,$,$,$,$,$,$,$,A-,B-,A-,$,$,B-
$,D+,$,B,C,F,$,$,$,B,D,B-,$,$,B,C,C,$,A,$,$,$,$,C,$,$,$,$,$,$,$,$,$,$,B,$,$,C-,A-,$,$,$,$,$,B-,C,C+,$,$,$,$,$,$,C,C,$,B,$,$,$,$,$,$,$,$,$,$,$,B,$,$,C+
$,$,$,$,C-,D,$,C,$,B-,A-,$,$,$,$,$,F,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,B-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,$,$,$,$,B,$,C,$,$,B-,$,$,$,$,$,$,C,$,$,D,$,$,$,$,$,C,$,$,$,$,C+,$,B-,$,A,$,C-,$,B+,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,A,B-,B,B-,$,A-,A,B+,$,$,C,B+,C,$,A,$,$,$,$,$,$,$,B,B,$,$,A-,$,$,$,$,A-,$,A-,A,A,$,$,$,$,B,A,A-,$,$,$,$,$,$,B,$,$,A,$,$,A,B,A,B,B,A,$,$,$,$,$,$,$
$,$,$,$,A,A,A,A,$,$,$,A,$,$,A,A,A,$,A,$,$,$,$,$,$,$,A,A,$,$,A,$,$,$,$,A,$,A,A,A,$,$,$,$,A,A,A,$,$,$,$,$,$,A,$,$,A,$,$,A-,A,A,A,A,A,$,$,$,$,$,$,$
$,A-,$,$,B,B+,B+,C+,$,B+,B+,A-,$,$,B+,B,B-,$,A,$,$,$,$,$,$,$,$,B,$,$,B+,$,$,$,$,A,$,A-,A,A,$,$,$,$,B,A-,B+,$,$,$,$,A-,$,B,$,$,A,$,$,C+,B,A,B+,B,B,$,$,$,$,$,$,$
$,$,$,$,B,C,$,$,$,$,$,B,$,$,B,A-,D,$,$,$,$,$,$,A,$,$,$,$,$,$,B,$,$,$,A,$,$,B,A,$,$,$,$,$,A,B,A,$,$,$,$,$,$,B,$,A,B+,$,$,$,$,$,$,$,$,$,$,$,A,$,$,B+
$,$,$,$,F,F,$,$,B+,A,A-,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C-,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,$,$
C+,$,$,$,$,$,$,$,F,A,B,$,$,$,D,C+,$,$,$,$,$,$,$,D,C+,$,$,$,$,B,$,C,$,B,D+,$,A-,$,A,$,B,$,$,$,$,C-,$,$,$,B,$,$,$,B,B-,B-,$,$,$,$,$,$,$,$,$,$,B-,D,A,$,$,C-
$,$,$,$,$,$,$,$,C,B,B,$,$,B-,$,$,$,$,$,$,$,$,$,C,F,$,$,$,$,$,$,C,$,$,B,$,$,$,A,$,F,$,A,$,$,$,$,$,$,A,$,$,$,D,$,$,$,$,$,$,$,$,$,$,$,$,$,$,A,$,$,$
$,$,$,$,$,$,$,$,D,B,B,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,C,B,$,$,$,$,$,$,B,F,$,$,$,$,$,$,A,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,D,$,$
$,$,$,$,$,$,$,$,$,C,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,C,$,C,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
$,$,$,$,F,C,F,C,C,B,B,C,$,$,C,C,F,$,A,$,$,$,$,$,$,$,A,C+,$,$,C,$,$,$,$,B+,A,B,C,B,$,$,$,$,C,C,C,$,$,$,$,$,$,A,$,$,C+,$,$,F,B-,A-,C+,C+,C,$,$,$,$,C,$,$
C+,$,$,$,$,$,$,$,$,$,$,$,$,C,C-,C,$,$,$,$,$,$,$,B,F,$,$,$,$,D,$,C+,$,$,B,$,B,$,A,$,C-,$,B,$,$,C,$,B,$,$,$,$,$,C,C,C+,$,$,$,$,$,$,$,$,$,$,B-,B+,A,$,$,C+
$,$,$,$,D,$,$,$,$,B+,A-,B,$,$,C+,B,F,$,$,$,$,$,$,$,$,$,$,$,$,$,A-,$,$,B,$,$,$,C+,B,$,$,$,$,$,B+,C+,B-,$,$,$,$,$,$,C+,B+,$,A-,$,$,$,$,$,B+,$,$,$,$,$,B,$,$,A-
$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,F,$,$,$,$,$,$,$,$,$,$,$,$,F,$,F,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$,$
A,$,$,$,$,$,$,$,$,$,$,C,$,$,C-,B-,$,$,$,$,$,$,$,C,C-,$,$,$,$,$,$,$,$,$,B,$,$,$,A,$,C+,$,$,$,$,C,B-,$,$,$,$,$,$,B,A,B+,$,$,$,$,$,$,$,$,$,$,C+,B-,B-,$,$,C+
